"Pnum","Section","Owner","Mixed.species","Species","State.code","Closed","Clear.date","Missing.entire.brood","Suspected.predation","Lay.date","April.lay.date","Lay.date.uncertainty","Lay.date.visit.interval","Laying.rate","Incubation.started","Num.broken.eggs","Expected.hatch.date","Hatch.date","April.hatch.date","Incubation.duration","Total.egg.weight","Num.eggs.weighed","Clutch.size","Num.chicks","Num.chicks.ringed","April.ring.date","Ring.day","Num.live.chicks","Num.dead.chicks","Num.fledglings","Mean.chick.weight","Num.linked.pulli.records","Num.linked.adult.records","Father","Mother","Identified.adults","Chick.ids","Dead.ringed.chick.ids","Experiment.codes","Num.eggs.manipulated","Comments","Legacy.average.egg.weight","Legacy.max.nest.state.code","Legacy.last.visit.date","Legacy.hatch.age.in.days","Legacy.april.hatch.date","Legacy.predation","Legacy.clutch.accuracy","Legacy.mean.fledge.weight","Legacy.num.ringed.dead.chicks","year"
"20221B108","b","Anett Kiss","false",NA,6,"true","09-06-2022",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221B109","b","Anett Kiss","false","b",6,"true","22-06-2022",NA,NA,"16-04-2022",16,"0",8,1,"true",0,"08-05-2022","06-05-2022",36,11,3.4,3,10,9,8,50,15,8,1,8,10.39,8,2,"atr4844","avl6734","avl6734, atr4844",NA,NA,NA,0,"eggs uncovered cold, FON, bluti alarm, 2 yd1, faceplated, maybe yn12, trapped",NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221B11","b","Anett Kiss","false","b",6,"true","22-06-2022",NA,NA,"18-04-2022",18,"0",8,1,"true",0,"10-05-2022","07-05-2022",37,10,4.8,4,10,10,10,51,15,10,2,8,9.95,10,3,"atr9744","avl7884","avl7884, atr9744",NA,"atr9948, atr9949",3,0,"eggs uncovered, maybe a little warm, 2 yd1, FON, original CS8, FON, original yn8, increased treatment to yn10, yn3 moved to b89, yn5 received, remarked, nails clipped and photos, faceplated, trapped and photos",NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221B110","b","Anett Kiss","false",NA,6,"true","22-06-2022",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221B111","b","Anett Kiss","false","b",6,"true","22-06-2022",NA,NA,"21-04-2022",21,"0",10,1,"true",0,"12-05-2022","12-05-2022",42,13,4.56,4,9,9,4,56,15,4,6,3,8.63,4,2,"atr7391","atr7484","3b0019075a, atr7484",NA,"ajy2117",NA,0,"FON, FON not hatched, fon, faceplated",NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221B112","b","Anett Kiss","false",NA,6,"true","22-06-2022",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221B113","b","Anett Kiss","false",NA,6,"true","22-06-2022",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221B114","b","Anett Kiss","false",NA,6,"true","22-06-2022",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221B115","b","Anett Kiss","false",NA,6,"true","22-06-2022",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221B116","b","Anett Kiss","false","g",6,"true","14-06-2022",NA,NA,"30-04-2022",30,"0",6,1,"true",0,"19-05-2022","18-05-2022",48,12,4.78,3,7,7,4,62,15,4,0,4,18.85,4,3,"ty70988","pf71385","01103fb44a, 3b0018c065",NA,NA,NA,0,"FON, fon, fon",NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221B117","b","Anett Kiss","false",NA,6,"true","22-06-2022",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221B118","b","Anett Kiss","false","g",6,"true","14-06-2022",NA,NA,"17-04-2022",17,"0",10,NA,"true",0,"07-05-2022","14-05-2022",44,20,4.6,3,8,7,2,58,15,2,0,2,19.25,2,3,"vz30961","vz33284","01103f9766, 011017687f",NA,NA,NA,0,"FON, fon",NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221B119","b","Anett Kiss","false",NA,6,"true","22-06-2022",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221B12","b","Anett Kiss","false","b",6,"true","22-06-2022",NA,NA,"21-04-2022",21,"0",10,1,"true",0,"12-05-2022",NA,NA,NA,4.88,4,9,NA,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,"FON, not hatched, eggs seem cold, cold eggs",NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221B121","b","Anett Kiss","false","b",6,"true","22-06-2022",NA,NA,"17-04-2022",17,"0",8,1,"true",0,"08-05-2022","07-05-2022",37,12,3.4,3,9,9,9,51,15,9,3,6,9.91,9,1,NA,"avl5581","01103f9894",NA,"atr9950, atr9953, atr9954",3,0,"bluti alarm, FON, control treatment, remarked, nails clipped and photos",NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221B122","b","Anett Kiss","false","b",6,"true","22-06-2022",NA,NA,"18-04-2022",18,"0",10,0.8,"true",0,"10-05-2022","11-05-2022",41,14,3.5,3,10,9,5,55,15,5,6,3,8.9,5,2,"atr4955","atr9965","atr4955, atr9965",NA,"ajy2087, ajy2088",NA,0,"FON, not hatched, not hatched, eggs slighly cold, one egg looked unviable, faceplated,, single parent alarm calling",NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221B123","b","Anett Kiss","false","b",6,"true","22-06-2022",NA,NA,"21-04-2022",21,"0",10,1,"true",0,"11-05-2022","12-05-2022",42,14,4.68,4,8,8,4,56,15,4,6,0,8.52,4,4,"avl7956","atr8183","01103fbaaf, 01103fa180",NA,"ajy2120, ajy2121, ajy2122, ajy2123",NA,0,"FON, faceplated,",NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221B124","b","Anett Kiss","false",NA,6,"true","14-06-2022",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221B125","b","Anett Kiss","false","b",6,"true","22-06-2022",NA,NA,"22-04-2022",22,"0",8,NA,"true",0,"14-05-2022","14-05-2022",44,13,4.79,4,10,10,2,58,15,2,1,2,8.6,2,2,"atr5875","avl6964","avl6964, atr5875",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221B126","b","Anett Kiss","false",NA,6,"true","22-06-2022",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221B127","b","Anett Kiss","false",NA,6,"true","22-06-2022",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221B128","b","Anett Kiss","false",NA,6,"true","22-06-2022",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221B129","b","Anett Kiss","false","g",6,"true","28-05-2022",NA,NA,"23-04-2022",23,"0",4,1,"true",0,"13-05-2022","14-05-2022",44,12,4.7,3,10,8,0,NA,NA,NA,6,0,NA,0,2,"ty68310","ty70819","01103fbe2d, ty68310, ty70819",NA,NA,NA,0,"75mm, FON sitting tight, fon",NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221B13","b","Anett Kiss","false",NA,6,"true","22-06-2022",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221B130","b","Anett Kiss","false","b",6,"true","22-06-2022",NA,NA,"17-04-2022",17,"0",8,NA,"true",0,"08-05-2022","09-05-2022",39,14,3.6,3,9,9,9,53,15,9,0,9,10.39,9,1,NA,"atr4773","atr4773, 01103fbe58",NA,NA,NA,0,"FON, not hatched, both parents in box, FON sitting tight",NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221B131","b","Anett Kiss","false","b",6,"true","22-06-2022",NA,NA,"20-04-2022",20,"0",10,1,"true",0,"10-05-2022","12-05-2022",42,15,4.76,4,8,7,7,56,15,7,2,5,9.61,7,2,"atr4913","avl3037","011016a3e0, avl3037, atr4913",NA,"ajy2110, ajy2115",NA,0,"eggs uncovered cold, FON, faceplated, FON",NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221B133","b","Keith Mc Mahon","false","b",6,"true","22-06-2022",NA,NA,"21-04-2022",21,"0",3,1,"true",0,"11-05-2022","15-05-2022",45,17,3.6,3,8,7,6,59,15,6,2,5,7.8,6,2,NA,"atr8189","atr8189",NA,"atr7935",NA,0,"not hatched, not hatched, not hatched, not hatched, no luck getting the male#",NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221B134","b","Keith Mc Mahon","false",NA,6,"true","08-06-2022",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221B136","b","Keith Mc Mahon","false","b",6,"true","25-05-2022",NA,NA,"25-04-2022",25,"0",3,2,"true",0,"15-05-2022","20-05-2022",50,18,3.1,3,8,4,0,NA,NA,NA,2,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,"female rings starts s88, not hatched, not hatched",NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221B137","b","Keith Mc Mahon","false",NA,6,"true","08-06-2022",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221B138","b","Keith Mc Mahon","false","b",6,"true","08-06-2022",NA,NA,"21-04-2022",21,"0",2,1,"true",0,"11-05-2022","11-05-2022",41,13,3.2,3,8,8,8,55,15,8,0,8,9.86,8,3,"avl3013","atr6897","01103f962b, avl3013, atr6897",NA,NA,NA,0,"ring ends 897",NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221B139","b","Keith Mc Mahon","false","b",6,"true","01-06-2022",NA,NA,"26-04-2022",26,"0",1,0.67,"true",0,"17-05-2022","18-05-2022",48,14,3.4,3,9,3,0,NA,NA,NA,3,0,NA,0,1,"avl7987",NA,"avl7987",NA,NA,NA,0,"fon but eggs cold",NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221B14","b","Anett Kiss","false",NA,6,"true","22-06-2022",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221B140","b","Keith Mc Mahon","false","b",6,"true","27-05-2022","true",NA,"20-04-2022",20,"0",3,1,"true",0,"12-05-2022","13-05-2022",43,14,3.6,3,10,10,0,NA,NA,NA,0,0,NA,0,2,"atr8272","atr7926","01103fa40e, atr8272, atr7926",NA,NA,NA,0,"rehang, not hatched, not hatched, fon, faceplate off, was in place yesterday and wasn't taken off",NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221B141","b","Keith Mc Mahon","false","b",6,"true","08-06-2022",NA,NA,"25-04-2022",25,"0",6,3,"true",0,"14-05-2022","14-05-2022",44,13,3.3,3,7,2,2,58,15,2,0,2,10.9,2,1,NA,"atr7925","atr7925",NA,NA,NA,0,"fon unringed, nothing on fp",NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221B142","b","Keith Mc Mahon","false","b",6,"true","01-06-2022",NA,NA,"16-04-2022",16,"0",6,1,"true",0,"08-05-2022","08-05-2022",38,12,3,3,11,11,11,52,15,11,0,11,10.72,11,2,"afh3143","atr8254","01103f7138, 01103fa627",NA,NA,NA,0,"not hatched",NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221B142A","b","Keith Mc Mahon","false",NA,0,"false",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221B143","b","Keith Mc Mahon","false",NA,0,"false",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221B144","b","Keith Mc Mahon","false",NA,6,"true","08-06-2022",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221B145","b","Keith Mc Mahon","false",NA,0,"false",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221B146","b","Keith Mc Mahon","false",NA,0,"false",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221B147","b","Keith Mc Mahon","false","b",6,"true","01-06-2022",NA,NA,"17-04-2022",17,"0",6,1,"true",0,"09-05-2022","09-05-2022",39,13,3.4,3,10,9,9,53,15,9,0,9,11.23,9,2,"j215730","atr8250","01103fbb9b, j215730",NA,NA,NA,0,"not hatched",NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221B148","b","Keith Mc Mahon","false",NA,0,"false",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221B149","b","Keith Mc Mahon","false","b",6,"true","08-06-2022",NA,NA,"18-04-2022",18,"0",6,1,"true",0,"11-05-2022","14-05-2022",44,16,3.4,3,11,11,5,58,15,5,4,4,7.54,5,1,"afh3290",NA,"afh3290",NA,"atr9164",NA,0,"bluti calling, greti singing nearby, not hatched, not hatched, not hatched, fon, very hungry chicks",NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221B15","b","Anett Kiss","false",NA,6,"true","22-06-2022",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221B150","b","Keith Mc Mahon","false","g",6,"true","20-06-2022",NA,NA,"10-05-2022",40,"0",16,1,"true",0,"27-05-2022","27-05-2022",57,12,5.8,3,6,3,2,71,15,2,0,2,14.35,2,0,NA,"ty69492","ty69492",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221B151","b","Keith Mc Mahon","false","b",6,"true","29-05-2022","true",NA,"24-04-2022",24,"0",3,3,"true",0,"12-05-2022","15-05-2022",45,16,3,3,6,5,0,NA,NA,NA,0,0,NA,0,3,"atr8178","r639400","r639400, atr8178",NA,NA,NA,0,"not hatched, nest box empty apart from nest",NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221B152","b","Keith Mc Mahon","false",NA,6,"true","08-06-2022",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221B153","b","Keith Mc Mahon","false","b",6,"true","08-06-2022",NA,NA,"24-04-2022",24,"0",3,3,"true",0,"15-05-2022","16-05-2022",46,14,3.6,3,9,9,4,60,15,4,1,4,9,4,3,"avl7963","atr8273","01103fc929, atr8273, avl7963",NA,NA,NA,0,"not hatched, fon",NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221B154","b","Keith Mc Mahon","false",NA,0,"false",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221B155","b","Keith Mc Mahon","false",NA,0,"false",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221B156","b","Keith Mc Mahon","false",NA,0,"false",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221B157","b","Keith Mc Mahon","false","b",6,"true","30-05-2022",NA,NA,"23-04-2022",23,"0",3,3,"true",0,"13-05-2022","16-05-2022",46,16,3.1,3,8,8,0,NA,NA,NA,8,0,NA,0,3,"atr8278","atr7456","atr7456, atr8278",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221B158","b","Keith Mc Mahon","false",NA,6,"true","20-06-2022",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221B159","b","Keith Mc Mahon","false",NA,6,"true","01-06-2022",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221B16","b","Anett Kiss","false",NA,6,"true","01-06-2022",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221B160","b","Keith Mc Mahon","false","b",6,"true","01-06-2022",NA,NA,"19-04-2022",19,"0",6,1,"true",0,"09-05-2022","11-05-2022",41,15,3.1,3,8,8,8,55,15,8,0,8,10.59,8,2,"avl5445",NA,"0110172b84, avl5445",NA,NA,NA,0,"not hatched, not hatched female ring ends 74, not hatched, very wary female",NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221B161","b","Keith Mc Mahon","false","b",6,"true","01-06-2022",NA,NA,"19-04-2022",19,"0",6,1,"true",0,"09-05-2022","09-05-2022",39,13,3.6,3,8,8,8,53,15,8,0,8,11.44,8,1,NA,"atr8323","3b00190fb8",NA,NA,NA,0,"not hatched, no luck catching here",NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221B162","b","Keith Mc Mahon","false",NA,0,"false",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221B163","b","Keith Mc Mahon","false","g",6,"true","01-06-2022",NA,NA,"15-04-2022",15,"0",6,NA,"true",0,"05-05-2022","07-05-2022",37,15,5.5,3,8,7,4,51,15,4,0,4,17.88,4,1,NA,"ty69125","ty69125",NA,NA,NA,0,"not hatched, parents didn't visit during faceplating, no luck catching, no visits when stalking and then not triggered trap",NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221B164","b","Keith Mc Mahon","false","b",6,"true","01-06-2022",NA,NA,"22-04-2022",22,"0",2,1,"true",0,"13-05-2022","13-05-2022",43,13,3.1,3,9,9,9,57,15,9,0,9,10.76,9,3,"atr8251","atr8249","atr8249, atr8251",NA,NA,NA,0,"fon ringed",NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221B165","b","Keith Mc Mahon","false","b",6,"true","08-06-2022",NA,NA,"18-04-2022",18,"0",6,1,"true",0,"10-05-2022","10-05-2022",40,13,3.1,3,10,9,9,54,15,9,0,9,10.12,9,2,"atr7912","atr7913","atr7912, atr7913",NA,NA,NA,0,"fon unringed, not hatched, nothing on faceplates",NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
"20221B166","b","Keith Mc Mahon","false","n",6,"true","08-06-2022",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,"full of leaves, quite nest shaped rather than mouse style, full of leaves",NA,NA,NA,NA,NA,NA,NA,NA,NA,2022
